estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SGDClassifier,0.7151205259313368,0.732557071489948,0.7478849407783418,0.013458865895165996,,500,l2,,0.4,modified_huber,,,,,
SGDClassifier,0.7217712177121771,0.7323751615830174,0.7494000685635928,0.012158945274567085,,500,l2,,0.2,modified_huber,,,,,
SGDClassifier,0.7222222222222221,0.732272691448992,0.7383241758241758,0.0071559829202459905,,100,l2,,0.1,hinge,,,,,
SGDClassifier,0.710960960960961,0.7313258363480476,0.756427604871448,0.01886146944716309,,100,l2,,0.3,modified_huber,,,,,
SVC,0.7264185037947235,0.7308307136231055,0.7379497623896809,0.005081844414116825,0.1,,,,,,poly,,,,
SGDClassifier,0.7064374789349511,0.7303497364364645,0.7432432432432433,0.01692583275615359,,700,l2,,0.3,perceptron,,,,,
SGDClassifier,0.7269553072625697,0.7303334065199992,0.7359277275886031,0.003984119389442604,,300,l2,,0.6,modified_huber,,,,,
SGDClassifier,0.7280148423005566,0.7302513796006922,0.7342389411354928,0.0028265899336540933,,500,l2,,0.1,hinge,,,,,
SGDClassifier,0.7119505993461678,0.7302320791214115,0.7452054794520546,0.013776291347167617,,200,l2,,0.6,modified_huber,,,,,
SGDClassifier,0.7173274596182085,0.7293602705732459,0.7478617858364695,0.013278287313526826,,700,l2,,0.1,hinge,,,,,
SGDClassifier,0.7082238077356365,0.728947767896979,0.7487283825025433,0.016549371989901192,,700,l2,,0.6,modified_huber,,,,,
SGDClassifier,0.7215424545791619,0.7288390520414829,0.7394468704512371,0.0076752921791114715,,400,l2,,0.2,modified_huber,,,,,
SGDClassifier,0.7100110823790173,0.7279559417714415,0.7418077061577242,0.013299658917384119,,600,l2,,0.4,modified_huber,,,,,
SGDClassifier,0.7219020172910663,0.7278794677862209,0.7388535031847134,0.007770140025457631,,200,l2,,0.1,hinge,,,,,
SGDClassifier,0.6833333333333333,0.727865712921293,0.7591892820336653,0.03234589869872055,,200,l2,,0.2,modified_huber,,,,,
SGDClassifier,0.7120418848167539,0.7277126066746328,0.7517580872011251,0.017261645731258657,,600,l2,,0.3,modified_huber,,,,,
SVC,0.7175518818149842,0.7276390834237896,0.7389302160821821,0.008769088948844955,10,,,,,,linear,,,,
SGDClassifier,0.7224416517055655,0.7273708060557474,0.7315634218289084,0.0037601896541139077,,400,l2,,0.1,hinge,,,,,
AdaBoostClassifier,0.7202295552367289,0.727206531881521,0.7396015379238028,0.008787669779151526,,,,,,,,,,210,
SGDClassifier,0.7078313253012047,0.7269660983812968,0.7434412265758091,0.014658821016366695,,100,l2,,0.7,modified_huber,,,,,
SGDClassifier,0.7141807494489346,0.7265399645154039,0.7345902828136331,0.008871760688112141,,300,l2,,0.7,modified_huber,,,,,
SGDClassifier,0.7176029962546817,0.7262961934766925,0.7399859451862262,0.009797049497276217,,400,l2,,0.4,modified_huber,,,,,
SGDClassifier,0.7031369548584545,0.7261293944247466,0.7417582417582418,0.016604574036031976,,600,l2,,0.6,modified_huber,,,,,
SGDClassifier,0.7107988165680473,0.7259832105837494,0.7387862796833773,0.011549243962988091,,300,l2,,0.8,modified_huber,,,,,
SGDClassifier,0.7030485509973655,0.7259281655167126,0.7444751381215471,0.01718758019925815,,600,l2,,0.5,modified_huber,,,,,
SGDClassifier,0.714656771799629,0.7258124018448449,0.7455342096393665,0.01398543510969504,,500,l2,,0.9,modified_huber,,,,,
